"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Minimum_Unit__c","Product_Description__c","Unit_Weight_kg_ha__c","DAP_Weight_kgs_ha__c","UREE_Weight_kgs_ha__c","Category__c"
"a0Mb0000001AzRrEAK","005b0000000WPiMAAW","0","Maize - PDS - 0.25","XOF","2013-07-04 11:15:55","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","This product created after delivery for clients who received smaller than the minimum unit originally offered.","0","100.00","100.00",""
"a0Mb0000001C179EAC","005b0000000XN70AAG","0","Maize Test SN","XOF","2013-07-17 12:01:59","005b0000000XN70AAG","2013-07-17 12:01:59","005b0000000XN70AAG","2013-08-25 18:53:11","0.0625","","20","","",""
"a0Mb0000001C19JEAS","005b0000000XN70AAG","0","Peanut Test SN","XOF","2013-07-17 12:02:57","005b0000000XN70AAG","2013-07-17 12:02:57","005b0000000XN70AAG","2013-08-25 18:53:11","0.0625","","60","","",""
"a0Mb0000001C19YEAS","005b0000000XN70AAG","0","Sorgho Test SN","XOF","2013-07-17 12:03:45","005b0000000XN70AAG","2013-07-17 12:03:45","005b0000000XN70AAG","2013-08-25 18:53:11","0.0625","","20","","",""
"a0Mb0000001UOGwEAO","005b0000000Wbc1AAC","0","Gombo","XOF","2013-08-09 14:40:42","005b0000000Wbc1AAC","2013-08-10 16:24:48","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001UOITEA4","005b0000000Wbc1AAC","0","Choux","XOF","2013-08-09 14:41:58","005b0000000Wbc1AAC","2013-08-10 16:24:20","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001UPENEA4","005b0000000Wbc1AAC","0","Tomates","XOF","2013-08-09 14:40:59","005b0000000Wbc1AAC","2013-08-10 16:26:29","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001UPEXEA4","005b0000000Wbc1AAC","0","Piments","XOF","2013-08-09 14:41:22","005b0000000Wbc1AAC","2013-08-10 16:24:32","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001UPFpEAO","005b0000000Wbc1AAC","0","Oignons","XOF","2013-08-09 14:44:21","005b0000000Wbc1AAC","2013-08-10 16:24:09","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001URKpEAO","005b0000000Wbc1AAC","0","Maize HYB Small Packet","XOF","2013-08-10 16:17:09","005b0000000Wbc1AAC","2013-08-10 16:23:02","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.1250","","20","100.00","100.00","Early Adopter"
"a0Mb0000001URLNEA4","005b0000000Wbc1AAC","0","Tomates F1 Platinum","XOF","2013-08-10 16:02:37","005b0000000Wbc1AAC","2014-10-22 00:13:16","005b0000000mPx4AAE","2014-10-22 00:13:16","0.0100","","0","500.00","","Vegetable"
"a0Mb0000001URMBEA4","005b0000000Wbc1AAC","0","Peanuts Small Packet","XOF","2013-08-10 16:14:37","005b0000000Wbc1AAC","2013-08-10 16:23:35","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.0625","","60","100.00","","Early Adopter"
"a0Mb0000001URMQEA4","005b0000000Wbc1AAC","0","Maize OPV Small Packet","XOF","2013-08-10 16:16:09","005b0000000Wbc1AAC","2013-08-10 16:23:18","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.1250","","20","100.00","100.00","Early Adopter"
"a0Mb0000001URMXEA4","005b0000000Wbc1AAC","0","Mais PDS","XOF","2013-08-10 16:38:14","005b0000000Wbc1AAC","2014-05-30 03:15:50","005b0000000WPiyAAG","2014-05-30 03:15:50","0.5000","","0","100.00","100.00","Cereal"
"a0Mb0000001URMfEAO","005b0000000Wbc1AAC","0","Arachide OPV","XOF","2013-08-10 16:20:27","005b0000000Wbc1AAC","2014-11-14 18:10:50","005b0000000mPx4AAE","2014-11-14 18:10:50","0.0625","","60","100.00","","Cereal"
"a0Mb0000001URNsEAO","005b0000000Wbc1AAC","0","Arachide PDS","XOF","2013-08-10 16:31:08","005b0000000Wbc1AAC","2014-04-27 12:41:42","005b0000000mPx4AAE","2014-04-27 12:41:42","0.1250","","0","100.00","","Cereal"
"a0Mb0000001URNxEAO","005b0000000Wbc1AAC","0","Mais OPV","XOF","2013-08-10 16:33:25","005b0000000Wbc1AAC","2013-08-10 16:33:25","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.1250","","20","100.00","100.00","Cereal"
"a0Mb0000001UROCEA4","005b0000000Wbc1AAC","0","Mais HYB","XOF","2013-08-10 16:35:45","005b0000000Wbc1AAC","2014-05-30 03:14:50","005b0000000WPiyAAG","2014-05-30 03:14:50","0.2500","","20","100.00","100.00","Cereal"
"a0Mb0000001UROgEAO","005b0000000Wbc1AAC","0","Sorgho OPV","XOF","2013-08-10 16:39:57","005b0000000Wbc1AAC","2013-08-10 16:39:57","005b0000000Wbc1AAC","2013-08-25 18:53:11","0.1250","","20","100.00","50.00","Cereal"
